Artist,Title,Album,Air Time,Duration,Letter,First Word,Year
Joan Armatrading,Down To Zero,Joan Armatrading,2023-12-11 16:17:00,7,D,Down,1976
Lauryn Hill,Doo Wop (that Thing),The Miseducation Of Lauryn Hill,2023-12-11 16:24:43,3,D,Doo,1998
Cyndi Lauper,True Colors,True Colors,2023-12-11 16:28:33,3,T,True,1986
Patsy Cline,Walkin' After Midnight,The Patsy Cline Story,2023-12-11 16:32:26,1,W,Walkin',1964
Big Brother & The Holding Company,Summertime,Cheap Thrills,2023-12-11 16:34:23,5,S,Summertime,1968
Joni Mitchell,California,Blue,2023-12-11 16:39:52,3,C,California,1971
Linda Ronstadt,When Will I Be Loved,Heart Like A Wheel,2023-12-11 16:43:37,2,W,When,1974
Patty Griffin,Heavenly Day,Children Running Through,2023-12-11 16:45:42,3,H,Heavenly,2007
The Pretenders,Talk Of The Town,Pretenders II,2023-12-11 16:49:05,4,T,Talk,1980
Björk,Hyper Ballad,Post,2023-12-11 16:53:20,5,H,Hyper,1995
4 Non Blondes,What's Up?,"Bigger, Better, Faster, More!",2023-12-11 16:58:31,5,W,What's,1992
Brandi Carlile,Right On Time,In These Silent Days,2023-12-11 17:03:50,5,R,Right,2021
Judy Collins,Both Sides Now,Wildflowers,2023-12-11 17:09:08,3,B,Both,1971
Tori Amos,Cornflake Girl,Under The Pink,2023-12-11 17:12:15,4,C,Cornflake,1994
Bonnie Raitt,Nick Of Time,Nick Of Time,2023-12-11 17:16:15,3,N,Nick,1989
Barbra Streisand,The Way We Were,The Way We Were,2023-12-11 17:19:55,5,T,The,1973
The Breeders,Cannonball,Last Splash,2023-12-12 08:00:47,5,C,Cannonball,1993
Annie Lennox,Walking On Broken Glass,Diva,2023-12-12 08:06:28,3,W,Walking,1992
The Cranberries,Dreams,"Everybody Else Is Doing It, So Why Can't We?",2023-12-12 08:10:27,5,D,Dreams,1994
Sinéad O'Connor,Mandinka,The Lion And The Cobra,2023-12-12 08:15:36,8,M,Mandinka,1987
Aretha Franklin,Rock Steady,"Young, Gifted and Black",2023-12-12 08:23:50,3,R,Rock,1967
Bobbie Gentry,Ode To Billie Joe,Ode To Billie Joe,2023-12-12 08:26:54,4,O,Ode,1967
Carly Simon,That's The Way I've Always Heard It Should Be,Carly Simon,2023-12-12 08:31:14,6,T,That's,1971
Janis Joplin,Cry Baby,Pearl,2023-12-12 08:38:13,3,C,Cry,1980
Joan Jett,Bad Reputation,Bad Reputation,2023-12-12 08:42:06,2,B,Bad,1980
