Artist,Title,Air Time_x,Play,Year,Letter,First Word,Duration,Air Time_y
J. J. Cale,Call Me the Breeze,2017-11-30 18:25:00,0,1972,C,Call,2,2016-12-01 23:29:00
Lynyrd Skynyrd,Call Me the Breeze,2017-11-30 18:27:00,0,1974,C,Call,6,2016-12-01 23:32:00
Van Morrison,Call Me Up In Dreamland,2017-11-30 18:33:00,0,1970,C,Call,4,2016-12-01 23:37:00
Hall & Oates,Camellia,2017-11-30 18:57:00,0,1975,C,Camellia,3,2016-12-02 00:03:00
Neil Young,Campaigner,2017-11-30 19:00:00,0,1977,C,Campaigner,3,2016-12-02 00:05:00
Todd Rundgren,Can We Still Be Friends,2017-11-30 19:11:00,0,1978,C,Can,4,2016-12-02 00:14:00
Funkadelic,Can You Get to That,2017-11-30 19:15:00,0,1971,C,Can,2,2016-12-02 00:19:00
Electric Light Orchestra,Can't Get It Out Of My Head,2017-11-30 19:32:00,0,1974,C,Can't,5,2016-12-02 01:12:00
The Police,Can't Stand Losing You,2017-11-30 19:57:00,0,1978,C,Can't,3,2016-12-02 01:37:00
The Rolling Stones,Can't You Hear Me Knockin',2017-11-30 20:03:00,0,1971,C,Can't,10,2016-12-02 01:43:00
Marshall Tucker Band,Can't You See,2017-11-30 20:13:00,0,1973,C,Can't,6,2016-12-02 01:51:00
Bruce Springsteen,Candy's Room,2017-11-30 20:24:00,0,1978,C,Candy's,2,2016-12-02 00:36:00
Joni Mitchell,Car On A Hill,2017-11-30 20:50:00,0,1974,C,Car,4,2016-12-02 02:08:00
Van Morrison,Caravan,2017-11-30 21:04:00,0,1970,C,Caravan,7,2016-12-02 02:17:00
Joni Mitchell,Carey,2017-11-30 21:23:00,0,1971,C,Carey,3,2016-12-02 02:22:00
Warren Zevon,Carmelita,2017-11-30 21:26:00,0,1976,C,Carmelita,3,2016-12-02 02:33:00
James Taylor,Carolina In My Mind,2017-11-30 21:38:00,0,1976,C,Carolina,3,2016-12-02 02:46:00
Jefferson Starship,Caroline,2017-11-30 21:41:00,0,1974,C,Caroline,9,2016-12-02 02:50:00
Led Zeppelin,Carouselambra,2017-11-30 21:50:00,0,1979,C,Carouselambra,10,2016-12-02 03:00:00
Renaissance,Carpet Of The Sun,2017-11-30 22:00:00,0,1973,C,Carpet,4,2016-12-02 03:11:00
Crosby & Nash,Carry Me,2017-11-30 22:04:00,0,1975,C,Carry,5,2016-12-02 03:26:00
Crosby Stills Nash & Young,Carry On,2017-11-30 22:09:00,0,1970,C,Carry,4,2016-12-02 03:29:00
Crosby Stills Nash & Young,Carry On,2017-11-30 22:13:00,1,1979,C,Carry,15,2016-12-02 03:29:00
Gary Numan,Cars,2017-11-30 22:33:00,0,1979,C,Cars,4,2016-12-02 03:54:00
The Doors,Cars Hiss By My Window,2017-11-30 22:37:00,0,1971,C,Cars,4,2016-12-02 03:57:00
Grateful Dead,Casey Jones,2017-11-30 22:41:00,0,1970,C,Casey,5,2016-12-02 04:02:00
Bob Weir,Cassidy,2017-11-30 22:46:00,0,1972,C,Cassidy,3,2016-12-02 04:06:00
Harry Chapin,Cat's In The Cradle,2017-11-30 22:49:00,0,1974,C,Cat's,5,2016-12-02 04:45:00
Crosby Stills & Nash,Cathedral,2017-11-30 23:00:00,0,1977,C,Cathedral,5,2016-12-02 04:35:00
Jerry Garcia,Cats Under The Stars,2017-11-30 23:05:00,0,1978,C,Cats,7,2016-12-02 04:49:00
Simon & Garfunkel,Cecilia,2017-11-30 23:12:00,0,1970,C,Cecilia,3,2016-12-02 05:09:00
The Kinks,Celluloid Heroes,2017-11-30 23:22:00,0,1972,C,Celluloid,6,2016-12-02 05:16:00
Tom Petty & The Heartbreakers,Century City,2017-11-30 23:28:00,0,1979,C,Century,4,2016-12-02 05:27:00
Steely Dan,Chain Lightning,2017-11-30 23:32:00,0,1975,C,Chain,4,2016-12-02 05:31:00
Herbie Hancock,Chameleon,2017-11-30 23:38:00,0,1973,C,Chameleon,15,2016-12-02 05:43:00
Stephen Stills,Change Partners,2017-11-30 23:53:00,0,1971,C,Change,4,2016-12-02 06:33:00
David Bowie,Changes,2017-12-01 00:03:00,0,1971,C,Changes,3,2016-12-02 06:56:00
The Runaways,Cherry Bomb,2017-12-01 01:10:00,0,1976,C,Cherry,2,2016-12-02 07:55:00
The Rolling Stones,Cherry Oh Baby,2017-12-01 01:12:00,0,1976,C,Cherry,4,2016-12-02 08:01:00
Eric Donaldson,Cherry Oh Baby,2017-12-01 01:16:00,0,1971,C,Cherry,2,2016-12-02 07:58:00
T Rex,Children Of The Revolution,2017-12-01 01:38:00,0,1972,C,Children,4,2016-12-02 08:27:00
Grateful Dead,China Cat / I Know You Rider,2017-12-01 01:51:00,0,1972,C,China,11,2016-12-02 08:36:00
Iggy Pop,China Girl,2017-12-01 02:02:00,0,1977,C,China,5,2016-12-02 08:55:00
The Doobie Brothers,China Grove,2017-12-01 02:07:00,0,1973,C,China,3,2016-12-02 09:01:00
