Title,Artist,Letter,Year
How Can You Mend A Broken Heart,Bee Gees,H,1971
How Deep Is Your Love,Bee Gees,H,0
How Do You Sleep?,John Lennon,H,1971
How Long,ACE,H,1975
Hypnotized,Fleetwood Mac,H,1973
I Ain't Living Long Like This,Rodney Crowell,I,1978
I Ain't Searchin,The American Dream,I,0
I Ain't Superstitious,Willie Dixon,I,1970
I Am The Cosmos,Chris Bell,I,0
I Been Hoodood,Dr. John,I,1973
I Believe In You,Neil Young,I,1970
I Came To Dance,Nils Lofgren,I,0
I Can Feel The Fire,Ron Wood,I,1974
I Can Help,Billy Swan,I,1974
I Can See Clearly Now,Johnny Nash,I,0
I Can't Be Satisfied,Muddy Waters,I,1977
I Can't Get Next To You,Al Green,I,1972
I Can't Stand The Rain,Ann Peebles,I,0
I Can't Tell You Why,The Eagles,I,1979
I Can't Wait To Get Off Work,Tom Waits,I,1976
I Dig Love,George Harrison,I,1970
I Do The Rock,Tim Curry,I,1979
I Don't Like Mondays,The Boomtown Rats,I,1979
I Don't Want To Go Home,Southside Johnny & The Asbury Jukes,I,0
I Don't Want To Know,Fleetwood Mac,I,1977
I Feel The Earth Move,Carole King,I,1971
I Fought The Law,The Clash,I,1979
I Give You Give Blind,Crosby Stills & Nash,I,1977
I Got The News,Steely Dan,I,1977
I Gotcha,Joe Tex,I,0
I Hear You Knockin',Dave Edmunds,I,1972
I Heard It Through The Grapevine,Creedence Clearwater Revival,I,1970
I Hope That I Don't Fall In Love With You,Tom Waits,I,1973
I Just Want To Be Your Everything,Andy Gibb,I,1977
I Just Want To See His Face,The Rolling Stones,I,1972
I Knew The Bride (When She Used To Rock & Roll),Dave Edmunds,I,0
I Know,Bonnie Raitt,I,1972
I Know A Little,Lynyrd Skynyrd,I,1977
I Know What I Like,Genesis,I,1973
I Looked Away,Derek & The Dominos,I,1970
I Love Music,The O'Jays,I,0
I Me Mine,The Beatles,I,1970
I Need A Miracle,Grateful Dead,I,1978
I Need To Know,Tom Petty & The Heartbreakers,I,1978
I Robot,The Alan Parsons Project,I,1977
I Saw the Light,Todd Rundgren,I,1975
I Scare Myself,Dan Hicks & The Hot Licks,I,1972
I See The Light,Hot Tuna,I,1974
I Shall Be Released,The Band,I,1978
I Shot The Sheriff,Bob Marley & The Wailers,I,1973
I Shot The Sheriff,Eric Clapton,I,1974
I Thank You,Bonnie Raitt,I,1979
I Thank You,ZZ Top,I,1979
I Thought I Was A Child,Jackson Browne,I,1973
I Wanna Be Sedated,The Ramones,I,0
I Wanna Be With You,The Raspberries,I,0
I Wanna Be Your Lover,Prince,I,1979
